,url,input_titles,input_description,output
17,http://celinejulie.blogspot.com/2019/10/brave-father-online.html,Limitless Cinema: BRAVE FATHER ONLINE,"BRAVE FATHER ONLINE: OUR STORY OF FINAL FANTASY XIV (2019, Teruo Noguchi, Kiyoshi Yamamoto, Japan, A+30)   1. ซึ้งที่สุด ดูแล้วแทบร้องไห้ แต...",None
18,http://consolidatedutilites.com/,consolidatedutilites.com,No Description,None
19,http://corriendovoycorriendovengo.blogspot.com/2011/04/medio-ironman-arenales-113vuelta.html,CORRIENDO VOY CORRIENDO VENGO: MEDIO IRONMAN ARENALES 113.....VUELTA A CASTILLA LA MANCHA Y TRAIL DE LA SERRA GROSSA DE ALICANTE,Peinado tu trofeo de senderista..............  Los del Rugnnig Team se llevaron...,None
20,http://dasistdeutschland.com/region847-127219.html,Das ist Deutschland. Losheim am See Homepage,"Das ist Deutschland. Losheim am See Homepage. Videos de Losheim am See, Fotos de Losheim am See, Noticias de Losheim am See, El tiempo en Losheim am See, información de Losheim am See, situación de Losheim am See, ayuntamiento de Losheim am See, monumentos de Losheim am See, fiestas de Losheim am See, turismo en Losheim am See, costumbres de Losheim am See, historia y mucho mas te esperan en Losheim am See",None
21,http://de.thinkexist.com/quotes/stephen_wicks/,Stephen Wicks quotes,"Stephen Wicks quotes,Stephen, Wicks, author, authors, writer, writers, people, famous people",None
22,http://destroythisnerd.com/2016/11/02/5405/,In lavorazione il sequel di Escape Plan | Destroy This Nerd,"Sono già passati tre anni dall’uscita di Escape Plan – Fuga dall’Inferno, un ottimo action thriller che ha avverato il sogno di ogni appassionato di cinema...",None
23,http://dmarie.com/layouts/display.asp?ID=25024,Hannah,No Description,None
24,http://dmgec.com/bbs/board.php?bo_table=const_result&rca=%EC%9C%A0%EB%9F%BD&sca=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%84%BC%ED%84%B0&tca=%EA%B8%B0%ED%83%80,DaeMyoung,No Description,None
25,http://draserranodeharo.com/el-dr-javier-calatrava-participa-como-ponente-de-congresos-a-la-vez-que-imparte-cursos-a-nivel-nacional-e-internacional/8cc50198-d0f9-4576-81bf-04671c7998df/,8cc50198-d0f9-4576-81bf-04671c7998df | Dra. Serrano de Haro,No Description,None
26,http://entrenadordeventas.com/index.php?a=d&id=3114,: Este dominio esta en venta en Solo10.com!,No Description,None
27,http://entrenadordeventas.com/index.php?a=d&id=4005,: Este dominio esta en venta en Solo10.com!,No Description,None
28,http://fan.theonering.net/~rolozo/cgi-bin/rolozo.cgi/collection/zhukova?hide=-966,Rolozo Tolkien,Rolozo Tolkien image gallery,None
29,http://fnd.trivialoo.com/es/trivias/42/copas-de-europa.html,Trivias online sobre Copas de Europa,Trivias para jugar y categorías que se encuentran dentro del tema Copas de Europa,None
30,http://forums.ukcdogs.com/private.php?s=4ee3a675357fb4ffa41078ecf4f99131&action=newmessage&userid=66772,UKC Forums,No Description,None
31,http://forums.ukcdogs.com/search.php?s=7c9862c06f51ba5bffd4fe902f996c31&action=finduser&userid=53952,UKC Forums,No Description,None
32,http://gantwarg.net/Flankspel/Sidebar32281621.htm,Speltypen,No Description,None
33,http://gerardspaans.jalbum.net/Rugby/Seizoen%202017-2018/album/index.html,album,album,None
34,http://highheelstube.com/sr/1384/pijani.html,Pijani free porn videos - HighHeelsTUbe,No Description,None
35,http://invertireninternet.com/index.php?a=d&id=4181,: Este dominio esta en venta en Solo10.com!,No Description,None
36,http://investigacionestrategica.com/index.php?a=cat&cc=31&start=0&ord=status,: Este dominio esta en venta en Solo10.com!,No Description,None
37,http://it.nbmaxauto.com/motorcycle-shock-absorber/,"Fabbrica di ammortizzatori per motociclette in Cina, produttori | Massimo",Ottieni ammortizzatori per moto di alta qualità presso Max Auto Parts Limited. Migliora il comfort e il controllo di guida con i nostri prodotti premium. Acquista ora!,None
38,http://m.landing.siap-online.com/?goto=https://forlifecode.com,PADAMU NEGERI,No Description,None
39,http://memoryhacking.com/forums/memberlist.php?mode=leaders&sid=694d2b6a655bd6cb74f81536ad4cf93f,General Error,No Description,None
40,http://n-prod.com/le-collectif-plein-phare.html,LE COLLECTIF PLEIN PHARE - N PRODUCTION,,None
41,http://newwayhk.com/productshow.aspx?id=599,NEWWAY MOTOR SPORTS CO.,No Description,None
42,http://original.betterlife.com/prod_home_page.asp?prod_id=20180,Bromelain 500 mg 2000 GDU/g Caps,"Product Information for Bromelain 500 mg 2000 GDU/g Caps, made by Source Naturals",None
43,http://paper.researchbib.com/view/paper/200661,Spatial Data Multi-Dimensional Acquisition using Digital Panoramic Images,No Description,None
44,http://philnunn.com/,philnunn.com,No Description,None
45,http://pspatterns.com/,PSpatterns,Patterns for textile and wallpapers,None
46,http://pusatdiklatnasional.com/2024/03/09/pelatihan-penyusunan-rencana-strategis-rumah-sakit-diklat-penyusunan-rencana-strategis-rumah-sakit-bimtek-penyusunan-rencana-strategis-rumah-sakit/,Pelatihan Renstra - Penyusunan Rencana Strategis Rumah Sakit - Materi Pelatihan Renstra - Pelatihan Rumah Sakit - Pelatihan Rumah Sakit 2025 - Pelatihan Akreditasi Rumah Sakit - Diklat Rumah Sakit - Manajemen Rumah Sakit - Manajemen Diklat Rumah Sakit - Training Rumah Sakit - Training Manajemen Rumah Sakit,Penyusunan Rencana Strategis Rumah Sakit merupakan langkah awal  untuk melakukan pengukuran kinerja instansi The-JGH-Hospital-Planning-Committee pemerintah,None
47,http://ravelinmagazine.com/posts/may-daniels-embodying-roles-artist-muse/131da6d6-824a-4db8-aa21-e555225a3a9f/,131DA6D6-824A-4DB8-AA21-E555225A3A9F - Ravelin Magazine,No Description,None
48,http://reignonline.net/,[Reign Online] - Index,No Description,None
49,http://reinvertir.com/index.php?a=d&id=5927,: Este dominio esta en venta en Solo10.com!,No Description,None
50,http://revistavoces.net/tag/recursos-financieros/,Recursos Financieros Archivos - Revista Voces,No Description,None
51,http://revistavoces.net/tag/red-nacional-de-fonotecas/,red nacional de fonotecas Archivos - Revista Voces,No Description,None
52,http://satorilabs.com/,"Satori Labs, Inc.","Satori Labs designs and develops innovative forms automation technology that allows users to capture and transform handwritten data, notes and drawings into digital formats that can be easily integrated into existing data storage and retrieval systems. The FusionForm product line combines the ease of pen, paper, and ink with the power of desktop and handheld devices. FusionForm receives the data, performs handwriting recognition wherever required, and then displays the form for review and integration with back-end databases.",None
53,http://st.prismlab.com/shoe-moulds/,Mefuta ea Lieta - Prismlab China Ltd.,Design 					 			 							Medical 					 			 							Edu & Res 					 			 							Prototype 					 			 							Architecture 					 			 							Jewelry 					 			 							Shoe Moulds 					  		Medical 	  		Shoe Moulds 	 3D printing technology is making steady progress in the shoemaking with its...,None
54,http://support.upjers.com/de/faq/my-little-farmies,Fragen und Antworten - My Little Farmies FAQ,"Finde hier die Antwort auf deine Frage zu My Little Farmies. Schaue dich in den bereits beantworteten Fragen um, oder suche nach einer bestimmten Frage.",None
55,http://tartarie.com/wg/?l=Lunyu&no=228&m=NOzh&lang=fr,Les Entretiens de Confucius - Lun Yu IX. 19. (228),"Read the famous Lunyu, Analects of Confucius, where the great Chinese thinker is living and studying with his scholars. / Lire le fameux Lun Yu, les Entretiens de Confucius, dans lequel ce grand penseur chinois vit et discute avec ses disciples.",None
56,http://tcf.bh.cornell.edu/imgs/jdelaet/sq/Linnaeaceae_Dipelta_floribunda_31983.html,Dipelta floribunda (Linnaeaceae) image 31983 at,Dipelta floribunda Linnaeaceae image,None
57,http://test.pusat.com/cgi-sys/defaultwebpage.cgi,Default Web Site Page,No Description,None
58,http://test.seha-liga.com/video/single/121/ppd-zagreb-vojvodina,Error!,No Description,None
59,http://test.viaway.com/Navigation/Language.aspx?id=2&returnToUrl=%2Fview%2F26272052%2Fein-strauss-voll-glueck,Viaway,,None
60,http://tsukinowa-since1987.com/an-unbiased-view-of-ukrainian-brides/,Tsukinowa Group,No Description,None
61,http://vehicleskins.com/profile.php?mode=register&sid=e3f74088d2dbb59bc0460bd3529bd157,:: Register,No Description,None
62,http://web1.cali.gov.co/loader.php?lServicio=Publicaciones&lFuncion=enviaramg&id=117935,Enviar a un amigo,No Description,None
63,http://www.abruzzonotizie.com/tag/autopsie/,autopsie | Abruzzo Notizie,No Description,None
64,http://www.adafes.com/guestbook/?page=24140&limit=5,Le livre d'or,No Description,None
65,http://www.agimuslombardia.com/,Agimus Lombardia,No Description,None
66,http://www.aikido-club-erstein-et-environs.com/album/cours-adultes/2105-11-14-img-0538.html,2105_11_14_IMG_0538,No Description,None
67,http://www.arbreserpent.com/cest-quoi-la-cuisine-occulte-le-vivendier-des-sorcieres-xenia-vetsera-1-2/img_20200722_185821/,IMG_20200722_185821 - Arbre Serpent,"Le Vivendier des Sorcières, un grimoire-like, un véritable utilitaire qui te donnera tout ce qu'il faut pour faire... mais qui ne te mâchera pas le travail ! Allez hop, en cuisine !",None
68,http://www.army-guide.com/rus/product4884.html,Army Guide,"Army Guide - информация про танки и другую бронетехнику, а также вооружения сухопутных войск разных стран мира - Bradley AMTV, Медицинская машина, Бронетехника",None
69,http://www.askmap.net/location/1089936/italy/terapia-della-bellezza,"Terapia della bellezza, Rome, Italy | Professional services","Maps, information and comments for Terapia della bellezza in Via Nicolò Paganini , 00196 Rome, Italy on Askmap.net",None
70,http://www.askmap.net/location/1393854/japan/sims2go-japan,"Sims2Go Japan, Minato-ku, Japan | Local business","Maps, information and comments for Sims2Go Japan in Roppongi on Askmap.net",None
71,http://www.askmap.net/location/2180213/japan/atelier-rust,"Atelier Rust, Minamiarupusu-shi, Japan | Shopping/retail","Maps, information and comments for Atelier Rust in 山梨県南アルプス市榎原273ｰ1, 4000204 Minamiarupusu-shi, Japan on Askmap.net",None
72,http://www.askmap.net/location/57864/austria/wildschek-lacke,"Wildschek Lacke, Atzgersdorf, Austria | Industrials","Maps, information and comments for Wildschek Lacke in Walter Jurmann Gasse 8, 1230 Atzgersdorf, Austria on Askmap.net",None
73,http://www.askmap.net/route.asp?address=Kolonie+Hundekehle+22%2C+14193+Berlin%2C+Germany&lat=52.480555555556&lng=13.251388888889,Trip Planner | Askmap.net,Trip planning tool | Askmap.net,None
74,http://www.banasazan.com/Content/Content.aspx?cat_id=44&Landir=ltr&c=allcontent&Lan=En&Content_id=115,IATDH,No Description,None
75,http://www.bc-associati.com/fondo-ebm-salute-procedura-di-attivazione-della-polizza-sanitaria-per-i-familiari-fiscalmente-a-carico/,Fondo EBM Salute: procedura di attivazione della polizza sanitaria per i familiari fiscalmente a carico,No Description,None
76,http://www.bellevision.com/index.php?action=recipies_all&type=109,Welcome Bellevision.com,No Description,None
77,http://www.bio.net/hypermail/IMMUNOLOGY/1995-September/005366.html,(no subject),No Description,None
78,http://www.blogvivalavida.com/2020/06/,Viva la vida - Slovenian fashion and beauty blog : junij 2020,,None
79,http://www.boeklezers.com/profile/ellenvanharen0,Ellen van Haren,,None
80,http://www.boisjumel.com/produit-174.html,"TERRINE DE CERF AUX POMMES | Nos produits | Le Bois Jumel : Tradition et terroir, confitures, fabrication artisanale de Bretagne",No Description,None
81,http://www.bonfantioliviero.com/42-tappa-lappeenranta-viaggio-2008/22-67/,22. | Bonfanti Oliviero Alviero Alfiero,,None
82,http://www.bridgeportethanol.com/index.cfm?show=1&mapID=17,Ethanol,No Description,None
83,http://www.catasetinae.com/culture.htm,Catasetum Culture,No Description,None
84,http://www.clubcaninlamartyre.com/album-photos/entrainement-29-12-13/g0610907.html,G0610907,No Description,None
85,http://www.departiming.com/gallery/2022/245/2022_kocaeli_republic_run.htm?events_side=past&year=2012&events_side=past&year=2024,Depar Timing,No Description,None
86,http://www.desainstudio.com/2012/09/kumpulan-font-gratis-bergaya-kartun.html?showComment=1350062731778,"Kumpulan Font Gratis Bergaya Kartun | desainstudio | tutorial Photoshop dan Illustrator, desain grafis dan seni visual",Karakteristik dari kartun memang bisa diaplikasikan dimana dan kapan saja. Style nya yang lucu dan komposisi bentuk yang tidak terduga mem...,None
87,http://www.dieseonze.com/programmation/2023-7-7/dans-cadre-fijm-jean-michel-pilc-trio.html,Diese Onze,No Description,None
88,http://www.ecole-de-bioenergie.com,Site en construction,No Description,None
89,http://www.eve-lynne.com/SUMM_DEPO_JANE_DOE.html,DEPOSITION SUMMARY,No Description,None
90,http://www.failtotal.com/2010/08/25-coisas-para-se-fazer-num-pronto.html,FAIL TOTAL: 25 coisas para se fazer num Pronto Socorro,"1. Comentar na sala de espera: “nossa, vem vindo uma maca ali que é tripa pra todo lado”.  2. Distribuir volantes com preços e condições de ...",None
91,http://www.failtotal.com/2010/09/64-desculpas-do-perderdor-no-winning.html,FAIL TOTAL: 64 DESCULPAS DO PERDERDOR NO WINNING ELEVEN,"1 – Também, tu é viciado.  2 – Pô, o meu uniforme tá confundindo.  3 – Essa bola confunde com o campo.  4 – Tu tem video-game e pode jogar t...",None
92,http://www.fc-sheriff.com/es/vse/con-el-lider-de-la-division-a/,Sheriff,,None
93,http://www.fernandorodriguez.com/?page_id=191&from=19700&select=1971,Libro de Visitas,No Description,None
94,http://www.fyldecroquet.co.uk/archive2017n.html,Fylde Croquet Club,Fylde Croquet Club has three full lawns in Blackpool. Visitors are welcome.,None
95,http://www.giteslesfontainesdupercy.com/album/photos-d-hiver/champoentete.html,VILAGE DE LA VALLEE DE CHAMPOLEON,No Description,None
96,http://www.grahamswebdesign.com/committee.htm,MARINE RESCUE NSW .. POINT DANGER ---------------------------------------------------------,MARINE RESCUE NEW SOUTH WALES .. POINT DANGER volunteers dedicated to the saving of lives at sea and educating the public in matters of boating safety,None
97,http://www.hikarinohana.com/2020/09/nueva-fecha-the-ashes-of-my-flesh.html,"NUEVA FECHA PARA ""THE ASHES OF MY FLESH"" - Hikari No Hana","""The Ashes of My Flesh and Blood is the Vast Flowing Galaxy"", la nueva película de Sabu, revela nueva fecha de estreno.",None
98,http://www.hislibris.com/foro-new/login.php?sid=2bb3e160ddc515e8044c000fd29884ef,Foro Primigenio de Hislibris :: Conectarse,No Description,None
99,http://www.inclusivas.com/2022/01/nosso-amigo-sergio-rocha-lima-e-seu.html,"INCLUSIVAS, o Blog do Jeff: NOSSO AMIGO SERGIO ROCHA LIMA E SEU LIVRO SOBRE EMPREENDEDORISMO",Já tem algum tempo que venho pensando sobre minhas buscas e iniciativas... Creio que me enquadro como empreendedor da minha própria imagem p...,None
100,http://www.infoodation.com/eventi/aggiungi-un-posto-a-tavola/1514-ciro-coccia-e-la-fortuna-dell-imperatore,Ciro Coccia e la Fortuna dell'imperatore,"inFOODation-Tarallucci e vin è un magazine online di gastronomia, vino, cultura, arte, eventi e spettacolo a Napoli e in tutta Italia",None
101,http://www.johnnybronto.com/2004/04/good-news-bad-newsgood-news-or-bad.php3,www.johnnybronto.com,"Good News, Bad News Good news or bad news?  Ok good news:  Ariel doesn't have a cyst on her brain as was suspected.  Her ventilator settin...",None
102,http://www.johnnybronto.com/2005/04/xflorida-ii-poems.php3,www.johnnybronto.com,[x]Florida II (poems). and these are dangerous thoughts because i think i could love you but i do not think that you could give me what i ne...,None
103,http://www.johnnybronto.com/2008/03/xpillars.php3,www.johnnybronto.com,"[x]pillars. Relevant - ""Sundays"" by Counting Crows (Saturday Night and Sunday Mornings) ...and I don't believe in anything, in anything and ...",None
104,http://www.juegodeldia.net/varios/palabra-de-5-letras-con-ate-en-medio-ayuda-de-wordle,Palabra de 5 letras con ATE en medio - Ayuda de Wordle,"Captura de pantalla con guías de juegos profesionales El popular rompecabezas de barrido de palabras, Wordle, puede ser muy difícil de resolver en unos",None
105,http://www.kansascouture.com/2011/11/dot-dot-dot.html?showComment=1320712990702,KANSAS COUTURE: Dot Dot Dot,"Top: Francesca's, $12 // Skirt: Forever 21, $20 // Shoes: Forever 21, $25 // Necklace: jcpenney, $10   This always happens to me. Wheneve...",None
106,http://www.kureselanahaber.com/odavizyon25/ocak25/index.html,PDF Flip,No Description,None
107,http://www.lacabecita.com/tag/sarah-goldberg/,Sarah Goldberg | La Cabecita,No Description,None
108,http://www.lampedusa35.com/lampedusa_notizie/o-scia-2009-terza-serata.htm,O'Scia' 2009 - terza serata : notizie e cronaca di Lampedusa,No Description,None
109,http://www.lampuprojectororiginal.com/2016/04/tempat-service-projector-acer-p1270.html,Tempat Service Projector Acer P1270 Jakarta / Jual Lampu LCD/DLP Proyektor Bergaransi - Harga DMD Chip Infocus Acer | Lampu Projector Original / Service Projector Jakarta All Brand,No Description,None
110,http://www.lecuisinieritinerant.com,Site en construction,No Description,None
111,http://www.locationquiberon.net/login-avis-location-quiberon-3894.html,Location Quiberon : Votre avis sur FRONT DE MER GRAND STUDIO de STANDING,Déposer un avis sur un hébergement pour 55personnes a Quiberon,None
112,http://www.m.opera.com/?rnd=2076560210&region=fr&act=lp&cert=none&vid=0x890fa08182ed02bb&tag=mini5,Opera for Mobile Devices,No Description,None
113,http://www.m.opera.com/?rnd=2395729873&region=lv&cert=none&vid=0x890fa08182ed02bb&tag=mini5&act=lp,Opera for Mobile Devices,No Description,None
114,http://www.m.opera.com/?rnd=3127115050&region=sk&act=lp&cert=none&vid=0x2c04e3b7208454be&tag=mini5,Opera for Mobile Devices,No Description,None
115,http://www.m.opera.com/?tag=mini5&act=lp&rnd=1958991556&vid=0x2c04e3b7208454be&region=nl&cert=thawte,Opera for Mobile Devices,No Description,None
116,http://www.m.opera.com/?tag=mini5&act=lp&rnd=2351124375&cert=none&vid=0x2c04e3b7208454be&region=km,Opera for Mobile Devices,No Description,None
117,http://www.m.opera.com/?tag=mini5&cert=none&act=lp&rnd=3197366239&vid=0x2c04e3b7208454be&region=es-mx,Opera for Mobile Devices,No Description,None
118,http://www.marmertulungagung.net/2018/08/model-kuburan-katolik-terbaru-model.html,"Model Kuburan Katolik Terbaru, Model Kuburan Kristen Modern, Model Kuburan Kristen - Pabrik Kerajinan - Makam Kijing - Lantai Marmer Granit Tulungagung","Harga Kijing Marmer Tulungagung, Harga Kijing Kuburan, Model Kuburan Kristen Minimalis, Harga Kijing Jogja, Harga Nisan Marmer Modern, Model Makam Minimalis, Model Kijing Makam, Harga Kijing Granit, Model Makam Kristen, Motif Kuburan Kristen, Kijing Makam Marmer, Kijing Marmer Tulungagung, Panjang Kijing Makam, Model Kuburan Minimalis, Desain Kuburan Minimalis, Kijing Granit, Desain Kuburan Kristen, Daftar Harga Kijing Makam, Makam Dari Batu Granit, Model Kijing Kuburan, Gambar Model Kijingan Terbaru, Model Kuburan Katolik Terbaru, Model Kuburan Kristen Modern, Model Kuburan Kristen",None
119,http://www.milaphotoart.com/gew_27taiya-taro4800stl_1820_70140036,"- 15844
 - milaphotoart.com",2025-02-12,None
120,http://www.nataliaserrano.com/jvva/dcwheellande23e101s1c174t2091w51911d684,"- 695d7
 - nataliaserrano.com",2025-02-15,None
121,http://www.neurologia.com/63/2/10.33588/rn.6302.2016112,XXXIII Reunion de la Sociedad Valenciana de Neurologia. Communications,,None
122,http://www.oldparkedcars.com/2014/04/1979-volvo-242-gt-custom-dl-pickup-truck.html?showComment=1397764664731,OLD PARKED CARS.: 1979 Volvo 242 GT Pickup Truck.,1979 Volvo 242 GT DL Custom Pickup Truck,None
123,http://www.patrick-bateman.com/url?q=https://thenakedtouch1.weebly.com,Weiterleitungshinweis,No Description,None
124,http://www.pinterestus.com/2017/03/7646-456-9226.html,7646-456-9226 - pinterestus,7646-456-9226,None
125,http://www.porelbulevar.com/2008/11/un-alto-en-el-camino-perfect-symmetry.html?showComment=1227181680000,Por el bulevar: Un alto en el camino... Perfect Symmetry,"Un blog para todos aquellos que apreciamos las pequeñas cosas de la vida: viajes, diseño, gastronomía, fotografía y mucho más.",None
126,http://www.quotidianoapuano.net/massese-i-convocati-per-la-venticinquesima/cartellone_castelfiorentino_mass/,cartellone_castelfiorentino_mass - www.quotidianoapuano.net,No Description,None
127,http://www.raglio.com/web/ricostruisci.php?nick=elcholo,Raglio.com - I nostri asini,"Raglio: Community dedicata agli Asini. Qui puoi trovare tutte le informazioni inerenti a questo fantastico animale. asini, asino, raglio, basto, mulo, amiatini, bardotto, community, martina franca, pantelleria, mascalcia, equitazione, trekking, someggiato, ragusano, cavalli, cavallo, sardo, asinara, bianco, ferratura, scuderia, appiombi, riproduzione, amiata, pantesco, romagnolo, tecnica, utile, paziente, razze, veterinaria, latte, morfologia, origini, foto",None
128,http://www.raivitz.com/categories/hvac-equipment/Furdowns/,Furdowns,Furdowns,None
129,http://www.ralf-strauss.com/url?q=https://leflorecommunications.com,Weiterleitungshinweis,No Description,None
130,http://www.rusadas.com/2012/02/la-ley-del-castillo.html,Rusadas: La ley del castillo,"Dicho llevado hasta las últimas consecuencias. Foto vía Jus  en Yaplakal   ""Мой дом моя крепость""  es un dicho ruso que podríamos traducir...",None
131,http://www.santandance.com/programas.asp?id=17,Santandance Radio - Programas,"Santandance Radio, Emisora de radio dance online del barrio de Sant Andreu de Barcelona (Catalunya - Cataluña) donde encontrarás nuestra programación, parrilla de horarios, programas, canciones de actualidad, novedades musicales, información musical, informativos, noticias musicales, historia de la radio, Discos, Actualidad Musical, Fiestas de la radio (jardins dance, dj's al congrés, santandance), santandance grup",None
132,http://www.searchdaimon.com/?URL=https://pensiuneacoral.ro/fr.php?cid=30%26kys=the+shirt+levis%26g=9,Redirect,No Description,None
133,http://www.silviagaliana.com/tag/xplora/,Xplora | Silvia Galiana,No Description,None
134,http://www.skipmc.com/galleries/gallery153/index.htm,Philippines Scuba - Winter 2014,No Description,None
135,http://www.stimkits.com,Stimkits DIY Home,Stimkits Home,None
136,http://www.suksesitubebas.com/2021/04/keuntungan-kuliah-kelas-karyawan-teknik.html,"Keuntungan Kuliah Kelas Karyawan Teknik Informatika
        | 
        Sukses Itu Bebas",Berencana untuk mengikuti kuliah kelas karyawan  tapi masih bingung memilih jurusan? Teknik informatika bisa menjadi pilihan yang paling tep...,None
137,http://www.tatouvu.com/w/wwa_ListeCommSpec/25174/spectacle-douce-france.html,Tatouvu.com - DOUCE FRANCE - Tous les avis / commentaires,L'actualité des spectacles et des théâtres sur Paris et sa région,None
138,http://www.thorgal.com/sujet/la-carte-du-monde-de-thorgal/page/3/?bbp_reply_to=35743&_wpnonce=95721f5e81,Forum  |  La carte du monde de Thorgal  | Thorgal,No Description,None
139,http://www.torildartistes.com/galerie-peintures-web-agence/2016/05/08/120-artistes-nimois/120artistes-crridart-19/,120artistes-crridart (19) - Toril d'Artistes,No Description,None
140,http://www.tufilmoteca.com/peliculas-masashi-ishibashi-pa-428453.html,TuFilmoteca.com,"Filmografia de Masashi Ishibashi. Listado de todas sus peliculas/series en su carrera profesional: The Street Fighter, Duelo en karate, Eclipse en el tiempo, El guerrero ninja, Dragon Princess...",None
141,http://www.uspour.com/__media__/js/netsoltrademark.php?d=badboyvideo.blogspot.com/,Trademark Free Zone,No Description,None
